euid,leid,coords,address,elementary_school,middle_school,senior_school,ward
ff67c61a07,581753617.0,"(38.87949, -76.99048, 0.0)",1126 I Street SE Washington DC 20003,Tyler Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
8de548d007,581753577.0,"(38.87949, -76.99048, 0.0)",1126 I Street SE Washington DC 20003,Tyler Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
86dea25b65,581753509.0,"(38.91688, -77.01837, 0.0)",415 U Street NW Washington DC 20001,Cleveland Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
2884e235b6,515573737.0,"(38.9236, -77.05455, 0.0)",2501 Calvert Street NW Washington DC 20008,Oyster-Adams Elementary,Oyster-Adams Middle School,Wilson Senior High,Ward 3 
70aa406d30,587253509.0,"(38.90367, -76.97566, 0.0)",2004 Maryland Avenue NE Washington DC 20002,Browne Elementary,Browne Middle School,Eastern Senior High,Ward 5 
2db81afd9f,515573437.0,"(38.88072, -76.99153, 0.0)",Washington DC 20003,Tyler Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
eae2388174,581753185.0,"(38.88534, -76.992, 0.0)",1018 Carolina Avenue SE Washington DC 20003,Watkins Elementary,Stuart-Hobson Middle School,Eastern Senior High,Ward 6 
b8266b57b1,587254289.0,"(38.96171, -77.03561, 0.0)",1469 Oglethorpe Street NW Washington DC 20011,Brightwood Elementary,New North Middle School,Coolidge Senior High,Ward 4 
6df966c904,587253793.0,"(38.92093, -77.07648, 0.0)",3813 Benton Street NE Washington DC 20007,Stoddert Elementary,Hardy Middle School,Wilson Senior High,Ward 3 
5728597dc7,581753465.0,"(38.88888, -76.99683, 0.0)",636 A Street SE Washington DC 20003,Brent Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
530b3706ff,587253621.0,"(38.90392, -76.99753, 0.0)",626 L Street NE Washington DC 20002,"Wilson, J.O. Elementary",Stuart-Hobson Middle School,Eastern Senior High,Ward 6 
b04ef42f7d,587254577.0,"(38.85772, -76.98804, 0.0)",2609 Douglass Road SE Washington DC 20020,Moten Elementary,Kramer Middle School,Anacostia Senior High,Ward 8 
a2ed61af3b,587254637.0,"(38.82946, -76.99565, 0.0)",730 Chesapeake Street SE Washington DC 20032,Hendley Elementary,Hart Middle School,Ballou Senior High,Ward 8 
fb45385a0f,587254317.0,"(38.97298, -77.0171, 0.0)",6827 4th Street NW Washington DC 20012,Takoma Elementary,New North Middle School,Coolidge Senior High,Ward 4 
0c8be8d231,587253969.0,"(38.92296, -77.02925, 0.0)",2515 13th Street NW Washington DC 20009,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
c2e3c337ca,581753189.0,"(38.92979, -76.98046, 0.0)",1709 Jackson Street NE Washington DC 20018,Burroughs Elementary,Brookland Middle School,Dunbar Senior High,Ward 5 
920421a948,587253897.0,"(38.92649, -77.04108, 0.0)",2901 18th Street NW Washington DC 20009,"Cooke, H.D Elementary",Columbia Heights Middle School,Cardozo Senior High,Ward 1 
b921b9054d,581753589.0,"(38.88663, -76.9885, 0.0)",1253 Walter Street SE Washington DC 20003,Payne Elementary,Eliot-Hine Middle School,Eastern Senior High,Ward 6 
9adfa2bf1c,587254665.0,"(38.90288, -77.05415, 0.0)",2517 K Street NW Washington DC 20037,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
6b3ed6f5b0,587252989.0,"(38.9128, -77.0424, 0.0)",1825 R Street NW Washington DC 20009,Ross Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
367819a081,587253949.0,"(38.91963, -77.02865, 0.0)",2213 12th Place NW Washington DC 20009,Garrison Elementary,Shaw Middle School,Cardozo Senior High,Ward 1 
3056d44d89,581753481.0,"(38.91648, -77.00564, 0.0)",126 Todd Place NE Washington DC 20002,Langley Elementary,McKinley Middle School,Dunbar Senior High,Ward 5 
ce3de88a35,587253697.0,"(38.87701, -77.0048, 0.0)",1111 New Jersey Avenue SE Washington DC 20003,Van Ness Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
72ef50077f,581753281.0,"(38.96623, -77.0075, 0.0)",6221 Kansas Avenue NE Washington DC 20011,Whittier Elementary,New North Middle School,Coolidge Senior High,Ward 4 
a53ed0f742,372893469.0,"(38.96923, -77.03225, 0.0)",1363 Underwood Street NW Washington DC 20012,Brightwood Elementary,New North Middle School,Coolidge Senior High,Ward 4 
8f8a7a56d2,587254265.0,"(38.95139, -77.01479, 0.0)",237 Farragut Street NW Washington DC 20011,Barnard Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 4 
e82ee89cd0,587252877.0,"(38.90485, -76.99476, 0.0)",800 Florida Avenue NE Washington DC 20002,Wheatley Elementary,Wheatley Middle School,Dunbar Senior High,Ward 5 
6d4dc152f0,581753353.0,"(38.9113, -77.03807, 0.0)",1633 Q Street NW Washington DC 20009,Ross Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
eaaa73d706,581753357.0,"(38.91221, -76.9843, 0.0)",1933 Capitol Avenue NE Washington DC 20002,Wheatley Elementary,Wheatley Middle School,Dunbar Senior High,Ward 5 
2d06c26c52,587253233.0,"(38.90006, -77.02452, 0.0)",925 H Street NW Washington DC 20001,Thomson Elementary,Shaw Middle School,Cardozo Senior High,Ward 2 
5e2933804f,587254505.0,"(38.90026, -76.95078, 0.0)",3727 Grant Place NE Washington DC 20019,Thomas Elementary,Kelly Miller Middle School,Woodson Senior High,Ward 7 
9300e25148,587253801.0,"(38.92508, -77.07705, 0.0)",3850 Tunlaw Road NW Washington DC 20007,Stoddert Elementary,Hardy Middle School,Wilson Senior High,Ward 3 
7b48ae123b,587254025.0,"(38.92751, -77.02742, 0.0)",1106 Columbia Road NW Washington DC 20009,Tubman Elementary,Columbia Heights Middle School,Cardozo Senior High,Ward 1 
a1b1cf7e3d,581753373.0,"(38.91039, -77.02223, 0.0)",1550 7th Street NW Washington DC 20001,Seaton Elementary,Shaw Middle School,Cardozo Senior High,Ward 6 
54d72a339c,587252933.0,"(38.85543, -76.9785, 0.0)",1808 Gainesville Street SE Washington DC 20020,Moten Elementary,Kramer Middle School,Anacostia Senior High,Ward 8 
4d5e81b5f3,515573653.0,"(38.85963, -76.95535, 0.0)",3624 Camden Street SE Washington DC 20020,Beers Elementary,Sousa Middle School,Anacostia Senior High,Ward 7 
6ade633e11,587253409.0,"(38.9032, -76.99241, 0.0)",1029 10th Street NE Washington DC 20002,"Wilson, J.O. Elementary",Stuart-Hobson Middle School,Eastern Senior High,Ward 6 
9c1b5515a0,587254225.0,"(38.94637, -77.02467, 0.0)",821 Buchanan Street NW Washington DC 20011,West Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 4 
3cf1ca785e,587253601.0,"(38.89183, -76.98741, 0.0)",1323 Constitution Avenue NE Washington DC 20002,Maury Elementary,Eliot-Hine Middle School,Eastern Senior High,Ward 6 
343c1d19d8,587254569.0,"(38.85303, -76.96223, 0.0)",2826 31st Street SE Washington DC 20020,Beers Elementary,Sousa Middle School,Anacostia Senior High,Ward 7 
ce50ad5bc7,581753609.0,"(38.92904, -76.99911, 0.0)",516 Regent Place NE Washington DC 20017,Noyes Elementary,Brookland Middle School,Dunbar Senior High,Ward 5 
4d9f305e3a,587254157.0,"(38.94423, -77.03722, 0.0)",1611 Webster Street NW Washington DC 20010,Powell Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 4 
bcab59a1f7,587253585.0,"(38.90109, -77.00326, 0.0)",201 I Street NE Washington DC 20002,"Wilson, J.O. Elementary",Stuart-Hobson Middle School,Eastern Senior High,Ward 6 
99a432af3e,587254073.0,"(38.9304, -77.03828, 0.0)",3166 Mt Pleasant Street NW Washington DC 20010,Bancroft Elementary,Deal Middle School,Wilson Senior High,Ward 1 
5f9b1eea0e,587254621.0,"(38.87778, -77.01641, 0.0)",Washington DC 20024,Amidon-Bowen Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
886faacd79,581753329.0,"(38.91235, -77.04631, 0.0)",2024 R Street NW Washington DC 20009,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
04dbe6a37a,233976353.0,"(38.92528, -77.02385, 0.0)",735 Fairmont Street NW Washington DC 20001,Tubman Elementary,Columbia Heights Middle School,Cardozo Senior High,Ward 1 
d77ff289b1,584716661.0,"(38.90777, -77.04127, 0.0)",1319 18th Street NW Washington DC nan,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
f9aedc2cf3,587255093.0,"(38.88736, -76.99719, 0.0)",636 Carolina Avenue SE Washington DC 20003,Brent Elementary,Jefferson Middle School,Eastern Senior High,Ward 6 
8becc09695,581753217.0,"(38.93323, -77.0376, 0.0)",1631 Monroe Street NW Washington DC 20010,Bancroft Elementary,Deal Middle School,Wilson Senior High,Ward 1 
d8b6469183,584716573.0,"(38.91138, -77.04637, 0.0)",1601 21st Street NW Washington DC nan,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
7668d89f89,555197341.0,"(38.95504, -77.03375, 0.0)",5331 Colorado Avenue NW Washington DC nan,West Elementary,MacFarland Middle School,Roosevelt Senior High,Ward 4 
e6ea592799,584716641.0,"(38.90163, -77.04036, 0.0)",1725 I Street NW Washington DC nan,School Without Walls @ Francis-Stevens Elementary,School Without Walls @ Francis-Stevens Middle School,Cardozo Senior High,Ward 2 
